ref,delegator,delegated_ksm,conviction,share_of_chaosdao_delegated_capital
659,DdcN7iyyTwjadQh9R4wPDdab9QaBeEakSbEcv8dVajr3ANB,0.05,3,0.0
659,DcvJ3oHF8MSJxR3ksJZsXmYJcJta7iaT8TW49nW3bXKSM6E,0.05,3,0.0
659,H2aeTwQxZ3woMLn8nw7CAD7zL1GX1zo6LzoA1eswPxb5xWp,0.05,2,0.0
659,HxdozjMvEkqHhvDZ8r1JAMQWoSRkiPFa4eAZSUNncrPsLyZ,0.04,6,0.0
659,HqJqXa7LmQahLE7cYoaNSmpbK31AWkKPo5UzDgQZXuWE2yn,0.04,6,0.0
659,H9XpinWLVsVGWzEDTq5zLVGoBuZx7gV4ciHkAKM8dqQ4NCe,0.04,6,0.0
659,Gk8an9RBiZUppiWUJz1EShCBo6h93szMBmotERtEQdxExNL,0.04,6,0.0
659,GaMS88n6NFhwee83sM5w1XjKnQvXKrdR8Emh1fL4HjTEou2,0.04,6,0.0
659,FfFsu3936vgGabqUR5J4xnyeymo5Sr79Py4cV8nPrbPA7Vj,0.04,6,0.0
659,EaVGq74vdFZH62Wm8NxGYGgPsd33Muhvix1WuPkFFZdph4y,0.04,6,0.0
659,EK1Ms6khMup6ggmPDXdyFUPuCvYQksbUGs2sewxdnvP4ePq,0.04,6,0.0
659,DbEkhG9QPLZ6b4KU2cCdCdwj1C75Uqs9LABq3LKienjjekw,0.04,6,0.0
659,DVsR2uLRqmzRSrMsKK7fhfhTwFQsYcrK54PPEa3whETSurf,0.04,6,0.0
659,DQGcfyfCJL3jcRFUcvoTUNg1As9RgMAVi4sMrfLf3rRhagQ,0.04,6,0.0
659,CrMnpGwioAPCHESse2cNWMP5ELYQd3Bixz73Y5EXiKNFxN7,0.04,6,0.0
659,CgAYEKV1VaTPMeBzfYjGxgLL3gucve5a3QWC9pMLkZ8oDHC,0.04,6,0.0
659,J4JSjPxvL8TK2PA9DNHio5xGuYZ36uqGgjtX83REi3nR3dF,0.04,2,0.0
659,FDYQb5eK8ARC8gTi2xFaQuf4nzUPYibiDVckBQjbviTyNP1,0.02,4,0.0
